Landkreis;Personen;Altersgruppe;Geschlecht;Nationalität
SK Berlin Reinickendorf;539;A18-A19;M;A
SK Berlin Reinickendorf;2127;A20-A24;M;A
SK Berlin Reinickendorf;3269;A25-A29;M;A
SK Berlin Reinickendorf;3625;A30-A34;M;A
SK Berlin Reinickendorf;3014;A35-A39;M;A
SK Berlin Reinickendorf;2559;A40-A44;M;A
SK Berlin Reinickendorf;5975;A45-A59;M;A
SK Berlin Reinickendorf;1042;A60-A64;M;A
SK Berlin Reinickendorf;1991;A65+;M;A
Berlin;22461;A00-A05;M;A
Berlin;29920;A06-A14;M;A
Berlin;8557;A15-A17;M;A
Berlin;6155;A18-A19;M;A
Berlin;29859;A20-A24;M;A
Berlin;56831;A25-A29;M;A
Berlin;66377;A30-A34;M;A
Berlin;53311;A35-A39;M;A
Berlin;40358;A40-A44;M;A
Berlin;83440;A45-A59;M;A
Berlin;15680;A60-A64;M;A
Berlin;29386;A65+;M;A
SK Berlin Mitte;2688;A00-A05;W;A
SK Berlin Mitte;3520;A06-A14;W;A
SK Berlin Mitte;1058;A15-A17;W;A
SK Berlin Mitte;925;A18-A19;W;A
SK Berlin Mitte;5200;A20-A24;W;A
SK Berlin Mitte;9448;A25-A29;W;A
SK Berlin Mitte;10692;A30-A34;W;A
SK Berlin Mitte;7721;A35-A39;W;A
SK Berlin Mitte;5745;A40-A44;W;A
SK Berlin Mitte;11902;A45-A59;W;A
SK Berlin Mitte;2350;A60-A64;W;A
SK Berlin Mitte;5603;A65+;W;A
SK Berlin Friedrichshain-Kreuzberg;1393;A00-A05;W;A
SK Berlin Friedrichshain-Kreuzberg;1580;A06-A14;W;A
SK Berlin Friedrichshain-Kreuzberg;385;A15-A17;W;A
SK Berlin Friedrichshain-Kreuzberg;366;A18-A19;W;A
SK Berlin Friedrichshain-Kreuzberg;2699;A20-A24;W;A
SK Berlin Friedrichshain-Kreuzberg;6422;A25-A29;W;A
SK Berlin Friedrichshain-Kreuzberg;7742;A30-A34;W;A
SK Berlin Friedrichshain-Kreuzberg;5668;A35-A39;W;A
SK Berlin Friedrichshain-Kreuzberg;3727;A40-A44;W;A
SK Berlin Friedrichshain-Kreuzberg;6902;A45-A59;W;A
